,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
74,74,0,,,,0,0,0,,,0.0,,,198,,,186,,0,0,0.0,,0.0,,2023-12-27T19:30:00Z,,,,0,,,8,0,,0,0,,0,19,0,44705,,,,1,2,0.0,0,-1877,28,1905,48,True,,0,0.0,0.0,0.0,0.0,0.0,3
75,75,0,,,,0,0,0,,,0.0,,,198,,,180,,0,0,0.0,,0.0,,2023-12-24T13:00:00Z,,,,0,,,20,0,,0,0,,0,18,0,46396,,,,1,2,0.0,0,-4110,42,4152,48,False,,0,0.0,0.0,0.0,0.0,0.0,3
76,76,0,,,,0,0,0,,,0.0,,,198,,,165,,0,0,0.0,,0.0,,2023-12-16T15:00:00Z,,,,0,,,17,0,,0,0,,0,17,0,50516,,,,0,2,0.0,0,-2156,1556,3712,48,True,,0,0.0,0.0,0.0,0.0,0.0,3
77,77,0,,,,0,16,0,,,16.8,,,198,,,154,,1,0,4.6,,22.2,,2023-12-10T14:00:00Z,,,,83,,,9,0,,0,0,,0,16,0,52667,,,,0,2,7.0,2,923,2133,1210,48,False,,0,0.05,0.07,0.02,1.01,1.0,3
78,78,0,,,,0,3,0,,,1.3,,,198,,,150,,1,0,1.7,,15.2,,2023-12-06T20:15:00Z,,,,45,,,14,0,,0,0,,0,15,0,51404,,,,1,2,0.0,1,-981,698,1679,48,False,,0,0.0,0.0,0.0,2.83,1.0,3
79,79,0,,,,0,0,0,,,0.0,,,198,,,135,,0,0,0.0,,0.0,,2023-12-03T14:00:00Z,,,,0,,,5,0,,0,0,,0,14,0,52052,,,,2,3,0.0,0,-7851,367,8218,48,True,,0,0.0,0.0,0.0,0.0,0.0,3
80,80,0,,,,0,8,0,,,11.4,,,198,,,127,,4,0,2.3,,12.0,,2023-11-25T15:00:00Z,,,,90,,,15,0,,0,0,,0,13,0,60130,,,,1,4,0.0,-1,3100,6384,3284,48,False,,1,0.01,0.01,0.0,2.28,1.0,3
81,81,0,,,,0,9,0,,,11.2,,,198,,,115,,4,0,2.4,,13.2,,2023-11-12T16:30:00Z,,,,90,,,13,0,,0,0,,0,12,0,55840,,,,4,4,0.0,-1,91,3095,3004,48,True,,1,0.01,0.01,0.0,2.9,1.0,3
82,82,0,,,,0,11,0,,,12.7,,,198,,,110,,0,0,4.7,,13.4,,2023-11-06T20:00:00Z,,,,45,,,18,0,,0,0,,0,11,0,55123,,,,4,1,21.0,1,-1509,2900,4409,48,False,,0,0.02,0.26,0.24,0.79,0.0,3
83,83,0,,,,0,13,0,,,22.2,,,198,,,95,,1,0,6.9,,19.2,,2023-10-28T11:30:00Z,,,,80,,,4,0,,0,0,,0,10,0,56398,,,,2,0,28.0,2,4452,7518,3066,48,True,,0,0.04,0.63,0.59,0.53,1.0,3
84,84,0,,,,0,8,0,,,1.1,,,198,,,84,,2,0,2.2,,18.6,,2023-10-21T16:30:00Z,,,,90,,,1,0,,0,0,,0,9,0,50764,,,,2,2,2.0,0,-2918,2238,5156,48,True,,1,0.12,0.12,0.0,1.06,1.0,3
85,85,0,,,,0,12,0,,,13.4,,,198,,,73,,1,0,3.1,,17.2,,2023-10-07T14:00:00Z,,,,90,,,6,0,,0,0,,0,8,0,54650,,,,4,1,0.0,1,8686,11209,2523,48,False,,1,0.01,0.01,0.0,0.75,1.0,3
86,86,0,,,,0,24,1,,,2.2,,,198,,,64,,0,0,2.0,,17.4,,2023-10-02T19:00:00Z,,,,90,,,10,0,,0,0,,0,7,0,43579,,,,2,0,0.0,5,1687,4357,2670,48,False,,1,0.0,0.0,0.0,1.08,1.0,3
87,87,0,,,,0,0,0,,,0.0,,,198,,,55,,0,0,0.0,,0.0,,2023-09-24T13:00:00Z,,,,0,,,2,0,,0,0,,0,6,0,40910,,,,1,0,0.0,0,-3362,620,3982,48,True,,0,0.0,0.0,0.0,0.0,0.0,3
88,88,0,,,,0,0,0,,,0.0,,,198,,,42,,0,0,0.0,,0.0,,2023-09-17T13:00:00Z,,,,0,,,3,0,,0,0,,0,5,0,43821,,,,0,0,0.0,0,-4234,1778,6012,49,False,,0,0.0,0.0,0.0,0.0,0.0,3
89,89,0,,,,0,0,0,,,0.0,,,198,,,35,,0,0,0.0,,0.0,,2023-09-02T14:00:00Z,,,,0,,,16,0,,0,0,,0,4,0,45982,,,,1,0,0.0,0,-5354,2966,8320,49,True,,0,0.0,0.0,0.0,0.0,0.0,3
90,90,0,,,,0,0,0,,,0.0,,,198,,,26,,0,0,0.0,,0.0,,2023-08-25T19:00:00Z,,,,0,,,12,0,,0,0,,0,3,0,49481,,,,0,3,0.0,0,-5003,3474,8477,50,True,,0,0.0,0.0,0.0,0.0,0.0,3
91,91,0,,,,0,0,0,,,0.0,,,198,,,19,,0,0,0.0,,0.0,,2023-08-20T15:30:00Z,,,,0,,,19,0,,0,0,,0,2,0,51606,,,,1,3,0.0,0,-5513,3408,8921,50,False,,0,0.0,0.0,0.0,0.0,0.0,3
